"Food_Code","Food_Abbrev_Desc","Food_Desc"
-1.00,,
11000000.00,"MILK, HUMAN","Milk, human"
11100000.00,"MILK, NFS","Milk, NFS"
11111000.00,"MILK, COW'S, FLUID, WHOLE","Milk, cow's, fluid, whole"
11111100.00,"MILK, COW'S, FLUID, WHOLE, LOW SODIUM","Milk, cow's, fluid, whole, low-sodium"
11111150.00,"MILK, CALCIUM FORTIFIED, WHOLE, COW'S, FLUID","Milk, calcium fortified, cow's, fluid, whole"
11111160.00,"MILK, CALCIUM FORTIFIED, COW'S, FLUID, 1% FAT","Milk, calcium fortified, cow's, fluid, 1% fat"
11111170.00,"MILK, CALCIUM FORTIFIED, SKIM/NONFAT, COW, FLUID","Milk, calcium fortified, cow's, fluid, skim or nonfat"
11112000.00,"MILK, COW'S, FLUID, NOT WHOLE, NS AS TO % FAT","Milk, cow's, fluid, other than whole, NS as to 2%, 1%, or skim (formerly milk, cow's, fluid, ""lowfat"", NS as to percent fat)"
11112110.00,"MILK, COW'S, FLUID, 2% FAT","Milk, cow's, fluid, 2% fat"
11112120.00,"MILK, COW'S, FLUID, ACIDOPHILUS, 1% FAT","Milk, cow's, fluid, acidophilus, 1% fat"
11112130.00,"MILK, COW'S, FLUID, ACIDOPHILUS, 2% FAT","Milk, cow's, fluid, acidophilus, 2% fat"
11112210.00,"MILK, COW'S, FLUID, 1% FAT","Milk, cow's, fluid, 1% fat"
11113000.00,"MILK, COW'S, FLUID, SKIM OR NONFAT","Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat"
11114300.00,"MILK, LOW LACTOSE, 1% FAT","Milk, cow's, fluid, lactose reduced, 1% fat"
11114310.00,"MILK, LOW LACTOSE, 1% FAT, FORTIFIED WITH CALCIUM","Milk, cow's, fluid, lactose reduced, 1% fat, fortified with calcium"
11114320.00,"MILK, LOW LACTOSE, NONFAT","Milk, cow's, fluid, lactose reduced, nonfat"
11114321.00,"MILK, LOW LACTOSE, NONFAT, W/ CALCIUM","Milk, cow's, fluid, lactose reduced, nonfat, fortified with calcium"
11114330.00,"MILK, COW'S FL LACTOSE REDUCED 2% FAT (LACTAID)","Milk, cow's, fluid, lactose reduced, 2% fat"
11114350.00,"MILK, COW'S, FLUID, LACTOSE REDUCED, WHOLE","Milk, cow's, fluid, lactose reduced, whole"
11115000.00,"BUTTERMILK, FLUID (INCLUDE KEFIR MILK)","Buttermilk, fluid, nonfat"
11115100.00,"BUTTERMILK, FLUID, 1% FAT","Buttermilk, fluid, 1% fat"
11115200.00,"BUTTERMILK, FLUID, 2% FAT","Buttermilk, fluid, 2% fat"
11116000.00,"MILK, GOAT'S, FLUID, WHOLE","Milk, goat's, fluid, whole"
11120000.00,"MILK, DRY, RECONSTITUTED, NFS","Milk, dry, reconstituted, NFS"
11121100.00,"MILK, DRY, RECONSTITUTED, WHOLE","Milk, dry, reconstituted, whole"
11121210.00,"MILK, DRY, RECONSTITUTED, LOWFAT","Milk, dry, reconstituted, lowfat"
11121300.00,"MILK, DRY, RECONSTITUTED, NONFAT","Milk, dry, reconstituted, nonfat"
11210000.00,"MILK, EVAPORATED, NS AS TO FAT CONTENT & DILUTION","Milk, evaporated, NS as to fat content and dilution"
11210050.00,"MILK, EVAPORATED, NS AS TO FAT CONTENT","Milk, evaporated, NS as to fat content (formerly NS as to dilution, used in coffee or tea, assume undiluted)"
11210100.00,"MILK, EVAPORATED, NS AS TO FAT, UNDILUTED","Milk, evaporated, NS as to fat content, undiluted"
11210200.00,"MILK, EVAPORATED, NS AS TO FAT, DILUTED","Milk, evaporated, NS as to fat content, diluted"
11211000.00,"MILK, EVAPORATED, WHOLE, NS AS TO DILUTION","Milk, evaporated, whole, NS as to dilution"
